  Global optimal solution found.
  Objective value:                              17.00000
  Extended solver steps:                            9859
  Total solver iterations:                       8496226


                       Variable           Value        Reduced Cost
                      R( 2, 20)        1.000000            0.000000
                      R( 2, 21)        1.000000            0.000000
                      R( 2, 22)        1.000000            0.000000
                      R( 2, 23)        1.000000            0.000000
                      R( 2, 24)        1.000000            0.000000
                      R( 2, 25)        1.000000            0.000000
                      R( 2, 26)        1.000000            0.000000
                      R( 2, 27)        1.000000            0.000000
                      R( 2, 28)        1.000000            0.000000
                      R( 2, 29)        1.000000            0.000000
                      R( 2, 30)        1.000000            0.000000
                      R( 2, 31)        1.000000            0.000000
                      R( 2, 32)        1.000000            0.000000
                      R( 3, 15)        1.000000            0.000000
                      R( 3, 16)        1.000000            0.000000
                      R( 3, 17)        1.000000            0.000000
                      R( 3, 18)        1.000000            0.000000
                      R( 3, 19)        1.000000            0.000000
                      R( 3, 20)        1.000000            0.000000
                      R( 3, 21)        1.000000            0.000000
                      R( 3, 22)        1.000000            0.000000
                      R( 3, 23)        1.000000            0.000000
                      R( 3, 24)        1.000000            0.000000
                      R( 3, 25)        1.000000            0.000000
                      R( 3, 26)        1.000000            0.000000
                      R( 3, 27)        1.000000            0.000000
                      R( 3, 28)        1.000000            0.000000
                      R( 3, 29)        1.000000            0.000000
                      R( 3, 30)        1.000000            0.000000
                      R( 3, 31)        1.000000            0.000000
                      R( 3, 32)        1.000000            0.000000
                       R( 4, 1)        1.000000            0.000000
                       R( 4, 2)        1.000000            0.000000
                       R( 4, 3)        1.000000            0.000000
                       R( 4, 4)        1.000000            0.000000
                       R( 4, 5)        1.000000            0.000000
                       R( 4, 6)        1.000000            0.000000
                       R( 4, 7)        1.000000            0.000000
                       R( 4, 8)        1.000000            0.000000
                       R( 4, 9)        1.000000            0.000000
                      R( 4, 10)        1.000000            0.000000
                      R( 4, 11)        1.000000            0.000000
                      R( 4, 12)        1.000000            0.000000
                      R( 4, 13)        1.000000            0.000000
                      R( 4, 14)        1.000000            0.000000
                      R( 4, 15)        1.000000            0.000000
                      R( 4, 16)        1.000000            0.000000
                      R( 5, 10)        1.000000            0.000000
                      R( 5, 11)        1.000000            0.000000
                      R( 5, 12)        1.000000            0.000000
                      R( 5, 13)        1.000000            0.000000
                      R( 5, 14)        1.000000            0.000000
                      R( 5, 15)        1.000000            0.000000
                      R( 5, 16)        1.000000            0.000000
                      R( 5, 17)        1.000000            0.000000
                      R( 5, 18)        1.000000            0.000000
                      R( 5, 19)        1.000000            0.000000
                      R( 5, 20)        1.000000            0.000000
                      R( 5, 21)        1.000000            0.000000
                      R( 5, 22)        1.000000            0.000000
                      R( 5, 23)        1.000000            0.000000
                      R( 5, 24)        1.000000            0.000000
                      R( 5, 25)        1.000000            0.000000
                      R( 5, 26)        1.000000            0.000000
                      R( 5, 27)        1.000000            0.000000
                      R( 5, 28)        1.000000            0.000000
                      R( 5, 29)        1.000000            0.000000
                      R( 5, 30)        1.000000            0.000000
                      R( 5, 31)        1.000000            0.000000
                      R( 5, 32)        1.000000            0.000000
                      R( 5, 33)        1.000000            0.000000
                       A( 1, 1)        1.000000            0.000000
                       A( 1, 2)        1.000000            0.000000
                       A( 1, 3)        1.000000            0.000000
                       A( 1, 4)        1.000000            0.000000
                       A( 1, 5)        1.000000            0.000000
                       A( 1, 6)        1.000000            0.000000
                       A( 1, 7)        1.000000            0.000000
                       A( 1, 8)        1.000000            0.000000
                       A( 1, 9)        1.000000            0.000000
                      A( 1, 10)        1.000000            0.000000
                      A( 1, 11)        1.000000            0.000000
                      A( 1, 12)        1.000000            0.000000
                      A( 1, 13)        1.000000            0.000000
                      A( 1, 14)        1.000000            0.000000
                      A( 1, 15)        1.000000            0.000000
                      A( 1, 16)        1.000000            0.000000
                      A( 1, 17)        1.000000            0.000000
                      A( 1, 18)        1.000000            0.000000
                      A( 1, 19)        1.000000            0.000000
                      A( 1, 20)        1.000000            0.000000
                      A( 1, 21)        1.000000            0.000000
                      A( 1, 22)        1.000000            0.000000
                      A( 1, 23)        1.000000            0.000000
                      A( 1, 24)        1.000000            0.000000
                      A( 1, 25)        1.000000            0.000000
                      A( 1, 26)        1.000000            0.000000
                      A( 1, 27)        1.000000            0.000000
                      A( 1, 28)        1.000000            0.000000
                      A( 1, 29)        1.000000            0.000000
                      A( 1, 30)        1.000000            0.000000
